Source,Target,Predicted_Attention,Predicted_Vanilla
swaarthparak,स्वार्थपरक,स्वार्थपरक,स्वार्थपारक
webb,वेब,वेब,वेब्ब
livaal,लिवाल,लिवाल,लीवाल
praavinses,प्राविंसेस,प्राविंसेस,प्रावाइंस
dukke,दुक्के,दुक्के,डुक्के
shrankhala,श्रंखला,श्रंखला,श्रांखाला
mithaiyaan,मिठाइयाँ,मिठाइयाँ,मिठाइां
bangsh,बंगश,बंगश,बांग्श
jangan,जनगन,जनगन,जंगन
toledo,टोलेडो,टोलेडो,तोलेडो
putli,पुतली,पुतली,पुत्ली
medizensar,मेडिजेन्सर,मेडिजेन्सर,मेडिजेनसार
waco,वाको,वाको,वेको
gaayikaao,गायिकाओ,गायिकाओ,गायिकाओं
rajnitikaaron,राजनीतिकारों,राजनीतिकारों,रजन्तिकारियों
championship,चैंपियनशिप,चैंपियनशिप,चैम्पियनशप
de,डीई,डीई,डे
dilaega,दिलाएगा,दिलाएगा,दिलेगा
pipli,पिपली,पिपली,पीआईपीएलआई
indriyonke,इन्द्रियोंके,इन्द्रियोंके,इन्द्रियों
barhad,बरहद,बरहद,बरहाड़
suchi,सूची,सूची,सुची
palanpur,पालनपुर,पालनपुर,पलानपुर
electrosteel,इलेक्ट्रोस्टील,इलेक्ट्रोस्टील,इलेक्ट्रोस्थिल
svaayattshasan,स्वायत्तशासन,स्वायत्तशासन,स्वायतत्तशासन
daulatabad,दौलताबाद,दौलताबाद,दाउलताबाद
velvet,वेलवेट,वेलवेट,वेल्वेट
aagashe,आगाशे,आगाशे,आगशे
srichakra,श्रीचक्र,श्रीचक्र,श्रीचार
anonditaa,अनोंदिता,अनोंदिता,अनोद्दिता
fontana,फोंटाना,फोंटाना,फोंटना
graahakonne,ग्राहकोंने,ग्राहकोंने,ग्राहकोनने
megavaal,मेगवाल,मेगवाल,मेगावाल
vilas,विलास,विलास,वाइलास
blackburn,ब्लैकबर्न,ब्लैकबर्न,ब्लैकबूर
vishnu,विष्णु,विष्णु,विष्णू
chaudhari,चौधरी,चौधरी,चौधारी
patiala,पटियाला,पटियाला,पतियाला
reliance,रिलायंस,रिलायंस,रिलाएंस
ummeede,उम्मीदे,उम्मीदे,उम्मीडे
badaaen,बड़ाएँ,बड़ाएँ,बड़ाएं
charas,चरस,चरस,चररस
bhasapa,भासपा,भासपा,भासापा
shmil,शमिल,शमिल,शम्
kping,कपिंग,कपिंग,केपीआईएनजी
surprise,सरप्राइज़,सरप्राइज़,सर्पााइस
labeling,लेबलिंग,लेबलिंग,लेबिलिंग
murgeepaalan,मुर्गीपालन,मुर्गीपालन,मुरगीपालन
artemis,आर्टेमिस,आर्टेमिस,आर्टमिस
sabajooniyar,सबजूनियर,सबजूनियर,सबजूनियार
sihuntaa,सिहुंता,सिहुंता,सिहुनता
hemwati,हेमवती,हेमवती,हेमवाती
robarto,रोबर्तो,रोबर्तो,रोबर्टो
nirbadh,निर्बाध,निर्बाध,निर्बा
dimaak,दिमाक,दिमाक,डिमाक
bahumaan,बहुमान,बहुमान,बहुमाँ
taras,तरस,तरस,तररस
jin,जीन,जीन,जिन
yusugi,युसूगी,युसूगी,युसुगी
pyade,प्यादे,प्यादे,प्याडे
bhootal,भूतल,भूतल,भूटल
purnsveekrit,पुर्नस्वीकृत,पुर्नस्वीकृत,पूर्णस्वीकृत
imaandaari,इमानदारी,इमानदारी,मिनादारी
sendha,सेंधा,सेंधा,सें्धा
gentry,जेन्ट्री,जेन्ट्री,जेंट्री
dhatta,धत्ता,धत्ता,ढत्ता
dhoron,धोरों,धोरों,ढोरों
ovum,ओवम,ओवम,ओवुम
nucleus,न्यूक्लियस,न्यूक्लियस,न्यूक्लूज
manchanda,मनचंदा,मनचंदा,मानचंडा
mckenzie,मैकेंज़ी,मैकेंज़ी,मैकेनजजी
purzon,पुर्जों,पुर्जों,पर्जों
singhaadey,सिंघाड़े,सिंघाड़े,सिंघादे
antarmukh,अंतर्मुख,अंतर्मुख,अन्तरमुख
thakkar,ठक्कर,ठक्कर,ठककर
bhapaee,भपाई,भपाई,भापै
beetaane,बीताने,बीताने,बीटाने
valve,वाल्व,वाल्व,वाल्वे
kheda,खेड़ा,खेड़ा,खेडा
shalimar,शालीमार,शालीमार,शालीमर
moses,मोसेस,मोसेस,मोसे
chandrapur,चंद्रपुर,चंद्रपुर,चन्द्रापुर
ahitakaaree,अहितकारी,अहितकारी,अहिताकारी
alayamanee,अलयमनी,अलयमनी,अलयमणनी
wipannta,विपन्नता,विपन्नता,विपन्ता
spast,स्पस्ट,स्पस्ट,स्पास्ट
mta,एमटीए,एमटीए,मटा
kaansting,कांस्टिंग,कांस्टिंग,काँस्टिंग
industrial,इंडस्ट्रियल,इंडस्ट्रियल,इंडस्ट्रियियल
ummidwaaree,उम्मीदवारी,उम्मीदवारी,उम्मिदवारीय
sangheeyataa,संघीयता,संघीयता,संघीतता
chhudawaaya,छुड़वाया,छुड़वाया,छुडवाया
chhahon,छहों,छहों,छाहों
rohtak,रोहतक,रोहतक,रोहकत
baawaraa,बावरा,बावरा,बाँवरा
styrolution,स्टायरोल्यूशन,स्टायरोल्यूशन,स्टाइरोल्यूशन
malmaas,मलमास,मलमास,मालमास
lucie,लूसी,लूसी,ल्यूसि
beck,बेक,बेक,बीसईी
vershan,वर्शन,वर्शन,वर्षण
motihari,मोतिहारी,मोतिहारी,मोतीहारी
wheeling,व्हीलिंग,व्हीलिंग,व्हिलिंग
communications,कम्यूनिकेशन्स,कम्यूनिकेशन्स,कम्युनिकेशन्स
alayans,अलायंस,अलायंस,अलायन्स
aradas,अरदास,अरदास,अरादास
tuglakabad,तुगलकाबाद,तुगलकाबाद,तुग्लाकाबाद
liwaal,लिवाल,लिवाल,लीवाल
flint,फ्लिंट,फ्लिंट,फ़्लिंट
punahsthapana,पुनःस्थापना,पुनःस्थापना,पुनःस्थापा
aurato,औरतो,औरतो,औरतों
deshbhaktimaya,देशभक्तिमय,देशभक्तिमय,देशभकटिमय
aayudhnirmaanee,आयुधनिर्माणी,आयुधनिर्माणी,आयुद्धिर्मानी
fijulkharchi,फिजूलखर्ची,फिजूलखर्ची,फिजुलखर्ची
dealership,डीलरशिप,डीलरशिप,डिलरशिप
dhwanimikon,ध्वनिमिकों,ध्वनिमिकों,ध्वानिमिकों
kalasaanaa,कलसाना,कलसाना,कलासना
wyaakhyaatmaktaa,व्याख्यात्मकता,व्याख्यात्मकता,व्याखायात्मकता
chamchagiree,चमचागिरी,चमचागिरी,चमचगारियी
ainthey,ऐंठे,ऐंठे,ऐंथे
jaatak,जातक,जातक,जाटक
vidyaayein,विद्याएं,विद्याएं,विद्यायें
vidhivat,विधिवत,विधिवत,विधिवत्
parikshankartaon,परीक्षणकर्ताओं,परीक्षणकर्ताओं,परिक्षणकर्ताओं
nashik,नाशिक,नाशिक,नशिक
gujara,गुजारा,गुजारा,गुजरा
jataati,जताती,जताती,जटाती
malegaon,मालेगांव,मालेगांव,माेगांव
mahamantra,महामंत्र,महामंत्र,महानत्र
beast,बीस्ट,बीस्ट,बीअस्ट
aasteen,आस्तीन,आस्तीन,आस्तीं
svapnika,स्वप्निका,स्वप्निका,स्वपनिका
mimicry,मिमिक्री,मिमिक्री,मिमिकरी
pegav,पेगव,पेगव,पेगेव
bhaagyoday,भाग्योदय,भाग्योदय,भागयोदय
machaye,मचाए,मचाए,मचाये
dharmarajne,धर्मराजने,धर्मराजने,धर्मारजने
venkatraman,वेंकटरमन,वेंकटरमन,वेंकटरमान
prasarakon,प्रसारकों,प्रसारकों,प्रसरकों
flin,फ्लिन,फ्लिन,फ़्लिन
dhaagaa,धागा,धागा,ढागा
sharabh,शरभ,शरभ,शरभभ
kumar,कुमार,कुमार,कुमर
munafa,मुनाफा,मुनाफा,मुनफफा
saatsera,सातसेरा,सातसेरा,साटसेरा
raajsthanwasiyon,राजस्थानवासियों,राजस्थानवासियों,राजस्थान्ासियों
baagbageechon,बागबगीचों,बागबगीचों,बागबीगचों
pramukhataapoorwak,प्रमुखतापूर्वक,प्रमुखतापूर्वक,प्रमुखातूपरूव
radico,रेडिको,रेडिको,राडिको
satti,सत्ती,सत्ती,सत्ति
khinchakar,खिंचकर,खिंचकर,खिंचाकर
raubadar,रौबदार,रौबदार,रौबददर
samajjanon,समाजजनों,समाजजनों,समाज्जनों
bhautikwaadiyon,भौतिकवादियों,भौतिकवादियों,भौतकवाादियों
lagaateen,लगातीं,लगातीं,लगातीन
najarandaaz,नजरंदाज,नजरंदाज,नजरन्दाज़
funkane,फुंकने,फुंकने,फुनकने
pahunchogee,पहुंचोगी,पहुंचोगी,पहूंचोगी
gonpo,गोंपो,गोंपो,गोन्पो
bhedabhaavon,भेदभावों,भेदभावों,भेदाभावों
najibabaad,नजीबाबाद,नजीबाबाद,नजीबााद
stops,स्टॉप्स,स्टॉप्स,स्टाप्स
dhakelte,धकेलते,धकेलते,ढकेलते
dushwaariyon,दुश्वारियों,दुश्वारियों,दुशवारियों
vidhansabhaen,विधानसभाएं,विधानसभाएं,विधानसभाएँ
mezbaan,मेज़बान,मेज़बान,मेज़ान
putta,पुट्टा,पुट्टा,पुत्ता
baabaao,बाबाओ,बाबाओ,बाबाओं
jiwanparyant,जीवनपर्यंत,जीवनपर्यंत,जीवानपर्यंत
dropadiyon,द्रोपदियों,द्रोपदियों,द्रोपडियों
mistriyan,मिस्त्रियां,मिस्त्रियां,मिस्तरियां
caplin,कैपलिन,कैपलिन,कैप्लिन
amara,अमारा,अमारा,आमरा
sohawal,सोहावल,सोहावल,सोहावा
varsted,वर्स्टेड,वर्स्टेड,वार्स्टेड
naimul,नैमुल,नैमुल,नैइमुल
parmeshvarpur,परमेश्वरपुर,परमेश्वरपुर,परमेशपर्ुर
maharaja,महाराजा,महाराजा,महराजा
tribunal,ट्रिब्युनल,ट्रिब्युनल,ट्रायब्युनल
wanvibhag,वनविभाग,वनविभाग,वनवीभाग
vanaspatiyaan,वनस्पतियाँ,वनस्पतियाँ,वनस्पतियां
linden,लिंडेन,लिंडेन,लिन्डेन
jalbhrav,जलभराव,जलभराव,जलभ्रव
chhateni,छतेनी,छतेनी,छटेनी
vishwasniiya,विश्वसनीय,विश्वसनीय,विश्वासनीय
jivaniyan,जीवनियां,जीवनियां,जिवनियां
reson,रेसों,रेसों,रिसन
vaataanukooliton,वातानुकूलितों,वातानुकूलितों,वातनुकूलितों
dehdhaari,देहधारी,देहधारी,दहहाारी
saayn,सायं,सायं,सायें
sawal,सवाल,सवाल,सवल
bannari,बन्नारी,बन्नारी,बननारी
pramukhkarmiyon,प्रमुखकर्मियों,प्रमुखकर्मियों,प्रमुक्रमियों
lee,ली,ली,ल्
usi,उसी,उसी,उसए
banthia,बांठिया,बांठिया,बांथिया
anam,अनम,अनम,अनाम
khammam,खम्मम,खम्मम,खममाम
agavai,अगवाई,अगवाई,अगावै
jodhikaa,जोधिका,जोधिका,जोढ़िका
tasvaaron,तस्वारों,तस्वारों,तसवारों
yanit,यनित,यनित,यानित
dhaavakon,धावकों,धावकों,ढावकों
lim,लिम,लिम,लीम
electrotex,इलेक्ट्रोटेक्स,इलेक्ट्रोटेक्स,इलैक्ट्रोटेक्स
mazboori,मज़बूरी,मज़बूरी,मजबूरी
yarooshaleim,यरूशलेम,यरूशलेम,यरूशललैम
karghe,करघे,करघे,करघघे
dharak,धारक,धारक,धररक
yuddhanaukaa,युद्धनौका,युद्धनौका,युद्धनाका
nbcc,एनबीसीसी,एनबीसीसी,एनबीसी
fransisko,फ्रांसिस्को,फ्रांसिस्को,फ्रानसस्को
tantra,तंत्र,तंत्र,तैंट्रा
csi,सीएसआई,सीएसआई,सीएसआइ
ankor,अंकोर,अंकोर,आंकोर
sailaaneepan,सैलानीपन,सैलानीपन,सैलाईनपन
jaylalita,जयललिता,जयललिता,जयलिता
susanskrut,सुसंस्कृत,सुसंस्कृत,सुसंस्क्रुत
dhawakon,धावकों,धावकों,ढावकों
sayra,सायरा,सायरा,सयारा
parosne,परोसने,परोसने,पैरोसन
kpada,कपड़ा,कपड़ा,कपाड़ा
kaju,काजू,काजू,कजू
hollywood,हॉलीवुड,हॉलीवुड,होलीवुड
shrankhalaaon,श्रंखलाओं,श्रंखलाओं,श्रखणलाओं
vyavadhan,व्यवधान,व्यवधान,व्यवधन
prana,प्राना,प्राना,प्राणा
paliyon,पालियों,पालियों,पलियों
scaining,स्कैनिंग,स्कैनिंग,स्येनिंग
dose,डोसे,डोसे,डोज़े
gujaarne,गुजारने,गुजारने,गुजानरे
water,वाटर,वाटर,वॉटर
dhonaa,धोना,धोना,ढोना
awasthaen,अवस्थाएं,अवस्थाएं,आवस्थाएँ
lebalon,लेबलों,लेबलों,लेबालों
porbandar,पोरबंदर,पोरबंदर,पोरबनदार
moolchand,मूलचंद,मूलचंद,मूलचन्द
aalhaa,आल्हा,आल्हा,आलहा
taskhir,तसखीर,तसखीर,तस्ीर
arunaai,अरुणाई,अरुणाई,अरुनाई
diamond,डायमंड,डायमंड,डायमोंड
mridubhaashee,मृदुभाषी,मृदुभाषी,मृद्भभाषी
zilaadhikaari,ज़िलाधिकारी,ज़िलाधिकारी,ज़िलाधिकारि
laganewale,लगनेवाले,लगनेवाले,लगानेवाले
vikaskhand,विकासखण्ड,विकासखण्ड,विकासखंड
baataaya,बाताया,बाताया,बाटाया
rajnitikaron,राजनीतिकारों,राजनीतिकारों,रजनीतीकारों
electromagic,इलेक्ट्रोमैजिक,इलेक्ट्रोमैजिक,इलेक्ट्रोमाजिक
bavji,बावजी,बावजी,बवजी
arabpatiyon,अरबपतियों,अरबपतियों,आरब्ततियों
mukaddamon,मुकद्दमों,मुकद्दमों,मुकददमों
sihunta,सिहुंता,सिहुंता,सिहुनता
dhoondhata,ढूंढता,ढूंढता,ढूँढता
wishvaweer,विश्ववीर,विश्ववीर,विश्वेवीर
wajood,वजूद,वजूद,वजूड
cerebra,सेरेब्रा,सेरेब्रा,सेरिब्रा
maange,मांगे,मांगे,माँगे
mensharaab,मेंशराब,मेंशराब,मेनशराब
taskheer,तसखीर,तसखीर,तस्ीर
jhaadane,झाड़ने,झाड़ने,झाडने
aadaan,आदान,आदान,आदां
pratinidhikaaree,प्रतिनिधिकारी,प्रतिनिधिकारी,प्रतिनिधिकारीय
everest,एवरेस्ट,एवरेस्ट,इवरेस्ट
taswaaron,तस्वारों,तस्वारों,तसवारों
premlata,प्रेमलता,प्रेमलता,प्रेमलेटा
mahamantr,महामंत्र,महामंत्र,महामन्त्र
kathfodave,कठफोड़वे,कठफोड़वे,कठथोड़ेव
kansai,कंसाई,कंसाई,कनसाई
paalasaahee,पालसाही,पालसाही,पालसहही
hichkichaa,हिचकिचा,हिचकिचा,हिचकचा
kmere,कमेरे,कमेरे,कमरे
skipper,स्किपर,स्किपर,स्किपेर
mainval,मैनवल,मैनवल,मैनवाल
telelinks,टेलीलिंक्स,टेलीलिंक्स,टेलिलिंक्स
harawal,हरावल,हरावल,हरावाल
kanchan,कंचन,कंचन,कांचन
lairi,लैरी,लैरी,लाइरी
khaatedar,खातेदार,खातेदार,खाटेदार
castaneda,कास्टानेडा,कास्टानेडा,कास्तानेडा
jaatakon,जातकों,जातकों,जाकतों
europea,यूरोपिया,यूरोपिया,युरोपीया
colorado,कोलोराडो,कोलोराडो,कोलोरोडो
aarya,आर्य,आर्य,आर्या
anishtata,अनिष्टता,अनिष्टता,अनिश्तता
ralhan,रल्हन,रल्हन,रल्हान
ladki,लड़की,लड़की,लडकी
fixingah,फिक्सिंगः,फिक्सिंगः,फिक्सींह
vipannta,विपन्नता,विपन्नता,विपन्ता
sahu,साहू,साहू,साहु
taavij,तावीज,तावीज,ताविज
jagtap,जगताप,जगताप,जगतप
dubna,डूबना,डूबना,डुबना
wind,विंड,विंड,विं्
shararat,शरारत,शरारत,शरातर
twin,ट्विन,ट्विन,टीविन
divya,दिव्य,दिव्य,दिव्या
nigmaayukt,निगमायुक्त,निगमायुक्त,निग्ञामुक्त
gabalee,गबली,गबली,गबाली
stafford,स्टेफोर्ड,स्टेफोर्ड,स्टाफोर्ड
world,वर्ल्ड,वर्ल्ड,वार्ल्ड
pradadhikariyon,प्रदाधिकारियों,प्रदाधिकारियों,प्रााधिकारियों
urvarta,उर्वरता,उर्वरता,उरववाटा
risane,रिसने,रिसने,रिसनने
avsthayen,अवस्थाएं,अवस्थाएं,अवस्थायें
dhairyavaan,धैर्यवान,धैर्यवान,धैर्यवां
prince,प्रिंस,प्रिंस,प्रिन्स
meza,मेज़ा,मेज़ा,मेजा
radar,रदर,रदर,रदार
sargi,सरगी,सरगी,सर्गी
madanaganja,मदनगंज,मदनगंज,मदनागंज
tewree,तेवरी,तेवरी,टेव्यी
sandhol,संधोल,संधोल,सनधोल
chennai,चेन्नई,चेन्नई,चेन्नै
phalne,फलने,फलने,फालने
dalton,डाल्टन,डाल्टन,डल्टन
shrikhand,श्रीखंड,श्रीखंड,श्रीखं्ड
kraanfrensing,क्रान्फ्रेंसिंग,क्रान्फ्रेंसिंग,क्रानफ्रेनसिंग
dhankkar,ढंककर,ढंककर,ढांककर
baraamad,बरामद,बरामद,बरााम
uthanevale,उठनेवाले,उठनेवाले,उठानेवाले
lehna,लहना,लहना,लेहना
andaajee,अंदाजी,अंदाजी,अनदाजी
fond,फोंड,फोंड,फोन्ड
sarebajar,सरेबाजार,सरेबाजार,सरेबाजर
hooper,हूपर,हूपर,हुपर
barbartapurna,बर्बरतापूर्ण,बर्बरतापूर्ण,बरबरतारपूर्ण
tariko,तरीको,तरीको,तररिको
pahla,पहला,पहला,पाहला
tadpatee,तड़पती,तड़पती,तडपत्
dostanapurna,दोस्तानापूर्ण,दोस्तानापूर्ण,दोस्तनापूर्ण
malhotra,मल्होत्रा,मल्होत्रा,मलहोट्रा
badoo,बडू,बडू,बडूू
wadhawan,वधावन,वधावन,वधावान
kamtar,कमतर,कमतर,काम्र
teeron,तीरों,तीरों,टीरों
ganesha,गणेशा,गणेशा,गणनेशा
zavala,ज़वाला,ज़वाला,जावाला
ranjkta,रंजकता,रंजकता,रंजक्ता
suction,सक्शन,सक्शन,सकशन
bhumi,भूमी,भूमी,भूमि
majesco,मेजेस्को,मेजेस्को,माजेस्को
pushpa,पुष्पा,पुष्पा,पुष्प
sipahi,सिपाही,सिपाही,सिपही
usak,उसक,उसक,यूएसएक
pitamah,पितामह,पितामह,पिताम
bhapaai,भपाई,भपाई,भापाई
mundwa,मुंडवा,मुंडवा,मुंदवा
bhilai,भिलाई,भिलाई,भिलई
kumavat,कुमावत,कुमावत,कुमावट
chandreshwaranagar,चंद्रेश्वरनगर,चंद्रेश्वरनगर,चंद्रश्वरानगर
danbury,डेनबरी,डेनबरी,डानबरी
yooniyanwaadi,यूनियनवादी,यूनियनवादी,यूनिनन्वादी
durghatna,दुर्घटना,दुर्घटना,दुरघटना
herrera,हेरेरा,हेरेरा,हेर्रा
vakrangee,वकरंगी,वकरंगी,वक्रांगी
aalsi,आलसी,आलसी,आल्सी
view,व्यू,व्यू,वाइअ
trenton,ट्रेंटन,ट्रेंटन,ट्रेनटन
rishtey,रिश्ते,रिश्ते,रिश्टे
brigade,ब्रिगेड,ब्रिगेड,ब्रिगडे
fyuji,फ्यूजी,फ्यूजी,फियूजी
colan,कोलन,कोलन,कोलैन
bhusi,भूसी,भूसी,भूसि
aswbhavik,अस्वभाविक,अस्वभाविक,अस्वभविक
man,मैन,मैन,मन
sudip,सुदीप,सुदीप,सुदिप
linda,लिंडा,लिंडा,लिन्डा
updraviyon,उपद्रवियों,उपद्रवियों,उप्द्रवियों
andhabhakto,अंधभक्तो,अंधभक्तो,अन्धभक्तो
gurdon,गुर्दों,गुर्दों,गुर्डोन
ved,वेड,वेड,वीईडी
evav,एवव,एवव,एवाव
offshore,ऑफशोर,ऑफशोर,ओफ़शॉर
phooltee,फूलती,फूलती,फूल्टी
verger,वर्गर,वर्गर,वर्जर
aatmamugdh,आत्ममुग्ध,आत्ममुग्ध,आत्माुग्ध
kambalon,कंबलों,कंबलों,कम्बलों
dhaatuein,धातुएं,धातुएं,ढातुएं
siyaha,सियाह,सियाह,सियाहा
bichchon,बिच्चों,बिच्चों,बिचचों
balty,बाल्टी,बाल्टी,बैल्टी
khangaali,खंगाली,खंगाली,खनगाली
kaavyavidhaaon,काव्यविधाओं,काव्यविधाओं,काव्यविधायों
kshatriyaadi,क्षत्रियादि,क्षत्रियादि,क्षत्रियादी
poorvapekshaon,पूर्वापेक्षाओं,पूर्वापेक्षाओं,पूर्वाकेक्षाओं
tareeko,तरीको,तरीको,तरीकों
kav,काव,काव,का
hokhat,होखत,होखत,होखाट
chaurasiya,चौरसिया,चौरसिया,चौरसीय
rizvi,रिज़वी,रिज़वी,रिजवी
clay,क्ले,क्ले,सीएल
gangtok,गंगटोक,गंगटोक,गांगटोक
adangaa,अड़ंगा,अड़ंगा,अदंगा
tikone,तिकोने,तिकोने,टिकोने
lordaa,लोरदा,लोरदा,लोर्डा
talaashegaa,तलाशेगा,तलाशेगा,तलाएशा
granthiyan,ग्रंथियां,ग्रंथियां,ग्रांथियां
pehan,पहन,पहन,पहना
dwarikesh,द्वारिकेश,द्वारिकेश,ड्वारिकेश
khairati,खैराती,खैराती,खैरती
sunaseer,सुनासीर,सुनासीर,सुनसीर
